"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_All","Prod_Merc_Positions_Short_All","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_All","M_Money_Positions_Short_All","M_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap__Positions_Short_Old","Swap__Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap__Positions_Short_Other","Swap__Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Other","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Other","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"SOCAL (INDEX) - ICE FUTURES ENERGY DIV",170919,2017-09-19,0233BW,IFED,01,023 ,   17753,   12739,   17151,    2721,       0,      30,     360,       0,       0,     390,       0,       0,   16240,   17181,    1513,     572,   17753,   12739,   17151,    2721,       0,      30,     360,       0,       0,     390,       0,       0,   16240,   17181,    1513,     572,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2356,    2325,    2418,      31,       0,       0,       0,       0,       0,       0,       0,       0,    2356,    2418,       0,     -62,  100.0,   71.8,   96.6,   15.3,    0.0,    0.2,    2.0,    0.0,    0.0,    2.2,    0.0,    0.0,   91.5,   96.8,    8.5,    3.2,  100.0,   71.8,   96.6,   15.3,    0.0,    0.2,    2.0,    0.0,    0.0,    2.2,    0.0,    0.0,   91.5,   96.8,    8.5,    3.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,     12,     10,.,      0,.,.,      0,      0,.,      0,      0,     16,     11,     24,     12,     10,.,      0,.,.,      0,      0,.,      0,      0,     16,     11,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    62.3,    76.8,    77.4,    94.2,    62.2,    76.8,    77.0,    92.9,    62.3,    76.8,    77.4,    94.2,    62.2,    76.8,    77.0,    92.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BW","IFED","023 ","N13","Combined"
"SOCAL (INDEX) - ICE FUTURES ENERGY DIV",170912,2017-09-12,0233BW,IFED,01,023 ,   15397,   10414,   14733,    2690,       0,      30,     360,       0,       0,     390,       0,       0,   13884,   14763,    1513,     634,   15397,   10414,   14733,    2690,       0,      30,     360,       0,       0,     390,       0,       0,   13884,   14763,    1513,     634,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -6634,   -3232,   -5637,    -991,    -226,    -423,       0,       0,       0,   -1116,       0,       0,   -5762,   -6286,    -872,    -348,  100.0,   67.6,   95.7,   17.5,    0.0,    0.2,    2.3,    0.0,    0.0,    2.5,    0.0,    0.0,   90.2,   95.9,    9.8,    4.1,  100.0,   67.6,   95.7,   17.5,    0.0,    0.2,    2.3,    0.0,    0.0,    2.5,    0.0,    0.0,   90.2,   95.9,    9.8,    4.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,     12,     11,.,      0,.,.,      0,      0,.,      0,      0,     16,     12,     24,     12,     11,.,      0,.,.,      0,      0,.,      0,      0,     16,     12,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    61.8,    76.0,    75.4,    91.3,    61.6,    74.4,    75.0,    89.8,    61.8,    76.0,    75.4,    91.3,    61.6,    74.4,    75.0,    89.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BW","IFED","023 ","N13","Combined"
"SOCAL (INDEX) - ICE FUTURES ENERGY DIV",170905,2017-09-05,0233BW,IFED,01,023 ,   22031,   13646,   20370,    3681,     226,     453,     360,       0,       0,    1506,       0,       0,   19646,   21049,    2385,     982,   22031,   13646,   20370,    3681,     226,     453,     360,       0,       0,    1506,       0,       0,   19646,   21049,    2385,     982,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -620,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -620,       0,     620,       0,  100.0,   61.9,   92.5,   16.7,    1.0,    2.1,    1.6,    0.0,    0.0,    6.8,    0.0,    0.0,   89.2,   95.5,   10.8,    4.5,  100.0,   61.9,   92.5,   16.7,    1.0,    2.1,    1.6,    0.0,    0.0,    6.8,    0.0,    0.0,   89.2,   95.5,   10.8,    4.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,     10,     12,.,.,.,.,      0,      0,.,      0,      0,     15,     13,     24,     10,     12,.,.,.,.,      0,      0,.,      0,      0,     15,     13,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    50.7,    67.2,    74.2,    84.6,    48.7,    67.2,    71.8,    83.3,    50.7,    67.2,    74.2,    84.6,    48.7,    67.2,    71.8,    83.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BW","IFED","023 ","N13","Combined"
"SOCAL (INDEX) - ICE FUTURES ENERGY DIV",170829,2017-08-29,0233BW,IFED,01,023 ,   22031,   14266,   20370,    3681,     226,     453,     360,       0,       0,    1506,       0,       0,   20266,   21049,    1765,     982,   22031,   14266,   20370,    3681,     226,     453,     360,       0,       0,    1506,       0,       0,   20266,   21049,    1765,     982,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2430,     570,    2190,    1156,     226,    -136,     360,       0,       0,     390,       0,       0,    2340,    2280,      90,     150,  100.0,   64.8,   92.5,   16.7,    1.0,    2.1,    1.6,    0.0,    0.0,    6.8,    0.0,    0.0,   92.0,   95.5,    8.0,    4.5,  100.0,   64.8,   92.5,   16.7,    1.0,    2.1,    1.6,    0.0,    0.0,    6.8,    0.0,    0.0,   92.0,   95.5,    8.0,    4.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,     11,     12,.,.,.,.,      0,      0,.,      0,      0,     16,     13,     24,     11,     12,.,.,.,.,      0,      0,.,      0,      0,     16,     13,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    50.7,    67.2,    74.2,    84.6,    48.7,    67.2,    71.8,    83.3,    50.7,    67.2,    74.2,    84.6,    48.7,    67.2,    71.8,    83.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BW","IFED","023 ","N13","Combined"
"SOCAL (INDEX) - ICE FUTURES ENERGY DIV",170822,2017-08-22,0233BW,IFED,01,023 ,   19601,   13696,   18180,    2525,       0,     589,       0,       0,       0,    1116,       0,       0,   17926,   18769,    1675,     832,   19601,   13696,   18180,    2525,       0,     589,       0,       0,       0,    1116,       0,       0,   17926,   18769,    1675,     832,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2820,    1650,    2820,     870,       0,       0,       0,       0,       0,       0,       0,       0,    2520,    2820,     300,       0,  100.0,   69.9,   92.8,   12.9,    0.0,    3.0,    0.0,    0.0,    0.0,    5.7,    0.0,    0.0,   91.5,   95.8,    8.5,    4.2,  100.0,   69.9,   92.8,   12.9,    0.0,    3.0,    0.0,    0.0,    0.0,    5.7,    0.0,    0.0,   91.5,   95.8,    8.5,    4.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,     11,     10,.,      0,.,      0,      0,      0,.,      0,      0,     14,     11,     22,     11,     10,.,      0,.,      0,      0,      0,.,      0,      0,     14,     11,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    49.1,    70.9,    74.7,    87.9,    47.1,    70.9,    72.2,    86.6,    49.1,    70.9,    74.7,    87.9,    47.1,    70.9,    72.2,    86.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BW","IFED","023 ","N13","Combined"
"SOCAL (INDEX) - ICE FUTURES ENERGY DIV",170815,2017-08-15,0233BW,IFED,01,023 ,   16781,   12046,   15360,    1655,       0,     589,       0,       0,       0,    1116,       0,       0,   15406,   15949,    1375,     832,   16781,   12046,   15360,    1655,       0,     589,       0,       0,       0,    1116,       0,       0,   15406,   15949,    1375,     832,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     120,       0,     120,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     120,     120,       0,  100.0,   71.8,   91.5,    9.9,    0.0,    3.5,    0.0,    0.0,    0.0,    6.7,    0.0,    0.0,   91.8,   95.0,    8.2,    5.0,  100.0,   71.8,   91.5,    9.9,    0.0,    3.5,    0.0,    0.0,    0.0,    6.7,    0.0,    0.0,   91.8,   95.0,    8.2,    5.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,     10,     11,.,      0,.,      0,      0,      0,.,      0,      0,     13,     12,     21,     10,     11,.,      0,.,      0,      0,      0,.,      0,      0,     13,     12,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    46.7,    70.2,    73.3,    87.7,    46.2,    70.2,    69.8,    83.3,    46.7,    70.2,    73.3,    87.7,    46.2,    70.2,    69.8,    83.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BW","IFED","023 ","N13","Combined"
"SOCAL (INDEX) - ICE FUTURES ENERGY DIV",170808,2017-08-08,0233BW,IFED,01,023 ,   16661,   12046,   15240,    1655,       0,     589,       0,       0,       0,    1116,       0,       0,   15406,   15829,    1255,     832,   16661,   12046,   15240,    1655,       0,     589,       0,       0,       0,    1116,       0,       0,   15406,   15829,    1255,     832,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -12876,   -7380,  -11538,   -2561,    -570,     136,    -372,       0,       0,   -2356,    -992,     -93,  -12626,  -13057,    -250,     181,  100.0,   72.3,   91.5,    9.9,    0.0,    3.5,    0.0,    0.0,    0.0,    6.7,    0.0,    0.0,   92.5,   95.0,    7.5,    5.0,  100.0,   72.3,   91.5,    9.9,    0.0,    3.5,    0.0,    0.0,    0.0,    6.7,    0.0,    0.0,   92.5,   95.0,    7.5,    5.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,     10,     11,.,      0,.,      0,      0,      0,.,      0,      0,     13,     12,     21,     10,     11,.,      0,.,      0,      0,      0,.,      0,      0,     13,     12,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    48.1,    67.8,    73.9,    87.8,    47.6,    67.8,    70.7,    80.3,    48.1,    67.8,    73.9,    87.8,    47.6,    67.8,    70.7,    80.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BW","IFED","023 ","N13","Combined"
"SOCAL (INDEX) - ICE FUTURES ENERGY DIV",170801,2017-08-01,0233BW,IFED,01,023 ,   29537,   19426,   26778,    4216,     570,     453,     372,       0,       0,    3472,     992,      93,   28032,   28886,    1505,     651,   29537,   19426,   26778,    4216,     570,     453,     372,       0,       0,    3472,     992,      93,   28032,   28886,    1505,     651,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     682,     -93,     310,    1085,     217,       0,       0,       0,       0,     -93,      93,      31,     930,     651,    -248,      31,  100.0,   65.8,   90.7,   14.3,    1.9,    1.5,    1.3,    0.0,    0.0,   11.8,    3.4,    0.3,   94.9,   97.8,    5.1,    2.2,  100.0,   65.8,   90.7,   14.3,    1.9,    1.5,    1.3,    0.0,    0.0,   11.8,    3.4,    0.3,   94.9,   97.8,    5.1,    2.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     29,     12,     14,.,.,.,.,      0,      0,.,.,.,     19,     18,     29,     12,     14,.,.,.,.,      0,      0,.,.,.,     19,     18,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    47.1,    61.5,    73.4,    79.7,    47.1,    61.5,    71.8,    73.9,    47.1,    61.5,    73.4,    79.7,    47.1,    61.5,    71.8,    73.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BW","IFED","023 ","N13","Combined"
"SOCAL (INDEX) - ICE FUTURES ENERGY DIV",170725,2017-07-25,0233BW,IFED,01,023 ,   28855,   19519,   26468,    3131,     353,     453,     372,       0,       0,    3565,     899,      62,   27102,   28235,    1753,     620,   28855,   19519,   26468,    3131,     353,     453,     372,       0,       0,    3565,     899,      62,   27102,   28235,    1753,     620,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2883,    3255,    2511,     477,     353,      19,       0,       0,       0,    -744,     -62,      62,    3069,    2883,    -186,       0,  100.0,   67.6,   91.7,   10.9,    1.2,    1.6,    1.3,    0.0,    0.0,   12.4,    3.1,    0.2,   93.9,   97.9,    6.1,    2.1,  100.0,   67.6,   91.7,   10.9,    1.2,    1.6,    1.3,    0.0,    0.0,   12.4,    3.1,    0.2,   93.9,   97.9,    6.1,    2.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     29,     12,     14,.,.,.,.,      0,      0,.,.,.,     20,     17,     29,     12,     14,.,.,.,.,      0,      0,.,.,.,     20,     17,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    45.6,    62.7,    70.9,    81.3,    45.6,    62.7,    69.3,    75.4,    45.6,    62.7,    70.9,    81.3,    45.6,    62.7,    69.3,    75.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BW","IFED","023 ","N13","Combined"
"SOCAL (INDEX) - ICE FUTURES ENERGY DIV",170718,2017-07-18,0233BW,IFED,01,023 ,   25972,   16264,   23957,    2654,       0,     434,     372,       0,       0,    4309,     961,       0,   24033,   25352,    1939,     620,   25972,   16264,   23957,    2654,       0,     434,     372,       0,       0,    4309,     961,       0,   24033,   25352,    1939,     620,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2201,     341,    2108,       0,       0,       0,       0,       0,       0,    1860,       0,       0,    2201,    2108,       0,      93,  100.0,   62.6,   92.2,   10.2,    0.0,    1.7,    1.4,    0.0,    0.0,   16.6,    3.7,    0.0,   92.5,   97.6,    7.5,    2.4,  100.0,   62.6,   92.2,   10.2,    0.0,    1.7,    1.4,    0.0,    0.0,   16.6,    3.7,    0.0,   92.5,   97.6,    7.5,    2.4,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,      9,     10,.,      0,.,.,      0,      0,.,.,      0,     16,     13,     25,      9,     10,.,      0,.,.,      0,      0,.,.,      0,     16,     13,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    54.6,    63.2,    75.3,    85.7,    54.6,    63.2,    74.2,    83.4,    54.6,    63.2,    75.3,    85.7,    54.6,    63.2,    74.2,    83.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BW","IFED","023 ","N13","Combined"
"SOCAL (INDEX) - ICE FUTURES ENERGY DIV",170711,2017-07-11,0233BW,IFED,01,023 ,   23771,   15923,   21849,    2654,       0,     434,     372,       0,       0,    2449,     961,       0,   21832,   23244,    1939,     527,   23771,   15923,   21849,    2654,       0,     434,     372,       0,       0,    2449,     961,       0,   21832,   23244,    1939,     527,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -4422,   -4497,   -1724,     739,    -401,    -739,       0,       0,       0,     540,    -420,    -720,   -4677,   -4004,     255,    -418,  100.0,   67.0,   91.9,   11.2,    0.0,    1.8,    1.6,    0.0,    0.0,   10.3,    4.0,    0.0,   91.8,   97.8,    8.2,    2.2,  100.0,   67.0,   91.9,   11.2,    0.0,    1.8,    1.6,    0.0,    0.0,   10.3,    4.0,    0.0,   91.8,   97.8,    8.2,    2.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,      9,     10,.,      0,.,.,      0,      0,.,.,      0,     16,     13,     25,      9,     10,.,      0,.,.,      0,      0,.,.,      0,     16,     13,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    50.2,    61.3,    72.9,    84.8,    50.2,    61.3,    71.7,    82.3,    50.2,    61.3,    72.9,    84.8,    50.2,    61.3,    71.7,    82.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BW","IFED","023 ","N13","Combined"
"SOCAL (INDEX) - ICE FUTURES ENERGY DIV",170703,2017-07-03,0233BW,IFED,01,023 ,   28193,   20420,   23573,    1915,     401,    1173,     372,       0,       0,    1909,    1381,     720,   26509,   27248,    1684,     945,   28193,   20420,   23573,    1915,     401,    1173,     372,       0,       0,    1909,    1381,     720,   26509,   27248,    1684,     945,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     -62,    -248,     -62,     248,       0,       0,       0,       0,       0,       0,       0,       0,       0,     -62,     -62,       0,  100.0,   72.4,   83.6,    6.8,    1.4,    4.2,    1.3,    0.0,    0.0,    6.8,    4.9,    2.6,   94.0,   96.6,    6.0,    3.4,  100.0,   72.4,   83.6,    6.8,    1.4,    4.2,    1.3,    0.0,    0.0,    6.8,    4.9,    2.6,   94.0,   96.6,    6.0,    3.4,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     29,     15,     12,.,.,.,.,      0,      0,.,.,.,     23,     18,     29,     15,     12,.,.,.,.,      0,      0,.,.,.,     23,     18,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    43.1,    50.1,    65.1,    71.8,    39.7,    45.1,    57.7,    65.1,    43.1,    50.1,    65.1,    71.8,    39.7,    45.1,    57.7,    65.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BW","IFED","023 ","N13","Combined"
"SOCAL (INDEX) - ICE FUTURES ENERGY DIV",170627,2017-06-27,0233BW,IFED,01,023 ,   28255,   20668,   23635,    1667,     401,    1173,     372,       0,       0,    1909,    1381,     720,   26509,   27310,    1746,     945,   28255,   20668,   23635,    1667,     401,    1173,     372,       0,       0,    1909,    1381,     720,   26509,   27310,    1746,     945,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    7955,    4080,    6095,     270,    -319,     753,     372,       0,       0,    1909,     241,     720,    8104,    7490,    -149,     465,  100.0,   73.1,   83.6,    5.9,    1.4,    4.2,    1.3,    0.0,    0.0,    6.8,    4.9,    2.5,   93.8,   96.7,    6.2,    3.3,  100.0,   73.1,   83.6,    5.9,    1.4,    4.2,    1.3,    0.0,    0.0,    6.8,    4.9,    2.5,   93.8,   96.7,    6.2,    3.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     29,     15,     12,.,.,.,.,      0,      0,.,.,.,     23,     18,     29,     15,     12,.,.,.,.,      0,      0,.,.,.,     23,     18,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    44.1,    50.2,    65.8,    71.9,    40.7,    45.2,    58.4,    65.2,    44.1,    50.2,    65.8,    71.9,    40.7,    45.2,    58.4,    65.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BW","IFED","023 ","N13","Combined"
