"Crop Year","Grain Week","Week Ending Date","worksheet","metric","period","grain","grade","Region","Ktonnes"
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Crop Year","Barley",,"Saskatchewan",10.8
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Crop Year","Barley",,"Alberta",9.9
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Crop Year","Barley",,"British Columbia",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Crop Year","Chick Peas",,"Manitoba",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Crop Year","Chick Peas",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Crop Year","Chick Peas",,"Alberta",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Crop Year","Chick Peas",,"British Columbia",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Crop Year","Peas",,"Manitoba",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Crop Year","Peas",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Crop Year","Peas",,"Alberta",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Crop Year","Peas",,"British Columbia",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Crop Year","Wheat",,"Manitoba",2.1
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Crop Year","Wheat",,"Saskatchewan",0.1
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Crop Year","Wheat",,"Alberta",5.5
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Crop Year","Wheat",,"British Columbia",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Crop Year","Barley",,"Manitoba",0.3
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Crop Year","Barley",,"Saskatchewan",20.4
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Crop Year","Barley",,"Alberta",4.6
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Crop Year","Barley",,"British Columbia",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Crop Year","Chick Peas",,"Manitoba",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Crop Year","Chick Peas",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Crop Year","Chick Peas",,"Alberta",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Crop Year","Chick Peas",,"British Columbia",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Crop Year","Peas",,"Manitoba",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Crop Year","Peas",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Crop Year","Peas",,"Alberta",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Crop Year","Peas",,"British Columbia",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Wheat",,"Canadian Domestic",0.1
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Wheat",,"Process Elevators",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Wheat",,"Pacific",5.6
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Wheat",,"Churchill",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Wheat",,"Thunder Bay",2.0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Wheat",,"Eastern Terminals",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Wheat",,"Export Destinations",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Barley",,"Canadian Domestic",4.5
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Barley",,"Process Elevators",1.0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Barley",,"Pacific",17.8
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Barley",,"Churchill",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Barley",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Barley",,"Eastern Terminals",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Barley",,"Export Destinations",1.9
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Peas",,"Canadian Domestic",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Peas",,"Process Elevators",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Peas",,"Pacific",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Peas",,"Churchill",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Peas",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Peas",,"Eastern Terminals",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Peas",,"Export Destinations",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Chick Peas",,"Canadian Domestic",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Chick Peas",,"Process Elevators",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Chick Peas",,"Pacific",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Chick Peas",,"Churchill",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Chick Peas",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Chick Peas",,"Eastern Terminals",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Current Week","Chick Peas",,"Export Destinations",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Wheat",,"Canadian Domestic",0.1
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Wheat",,"Process Elevators",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Wheat",,"Pacific",5.6
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Wheat",,"Churchill",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Wheat",,"Thunder Bay",2.0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Wheat",,"Eastern Terminals",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Wheat",,"Export Destinations",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Barley",,"Canadian Domestic",4.5
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Barley",,"Process Elevators",1.0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Barley",,"Pacific",17.8
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Barley",,"Churchill",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Barley",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Barley",,"Eastern Terminals",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Barley",,"Export Destinations",1.9
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Peas",,"Canadian Domestic",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Peas",,"Process Elevators",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Peas",,"Pacific",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Peas",,"Churchill",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Peas",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Peas",,"Eastern Terminals",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Peas",,"Export Destinations",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Chick Peas",,"Canadian Domestic",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Chick Peas",,"Process Elevators",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Chick Peas",,"Pacific",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Chick Peas",,"Churchill",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Chick Peas",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Chick Peas",,"Eastern Terminals",0
"2026-2027",1,"09/08/2026","Feed Grains Shipment Distribution","Feed Grain Shipment Distribution","Crop Year","Chick Peas",,"Export Destinations",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Current Week","U.S. Corn",,"Primary Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Current Week","U.S. Corn",,"Process Elevators",0.071
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Current Week","U.S. Corn",,"Vancouver",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Current Week","U.S. Corn",,"Prince Rupert",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Current Week","U.S. Corn",,"Churchill",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Current Week","U.S. Corn",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Current Week","U.S. Corn",,"Bay & Lakes",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Current Week","U.S. Corn",,"St. Lawrence",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Current Week","U.S. Soybean",,"Primary Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Current Week","U.S. Soybean",,"Process Elevators",1.562
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Current Week","U.S. Soybean",,"Vancouver",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Current Week","U.S. Soybean",,"Prince Rupert",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Current Week","U.S. Soybean",,"Churchill",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Current Week","U.S. Soybean",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Current Week","U.S. Soybean",,"Bay & Lakes",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Current Week","U.S. Soybean",,"St. Lawrence",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Corn",,"Primary Elevators",0.032
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Corn",,"Process Elevators",1.397
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Corn",,"Vancouver",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Corn",,"Prince Rupert",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Corn",,"Churchill",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Corn",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Corn",,"Bay & Lakes",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Corn",,"St. Lawrence",0.686
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Soybean",,"Primary Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Soybean",,"Process Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Soybean",,"Vancouver",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Soybean",,"Prince Rupert",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Soybean",,"Churchill",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Soybean",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Soybean",,"Bay & Lakes",0.971
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Soybean",,"St. Lawrence",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Canola",,"Primary Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Canola",,"Process Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Canola",,"Vancouver",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Canola",,"Prince Rupert",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Canola",,"Churchill",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Canola",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Canola",,"Bay & Lakes",0.078
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Current Week","U.S. Canola",,"St. Lawrence",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","U.S. Corn",,"Primary Elevators",4.131
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","U.S. Corn",,"Process Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","U.S. Corn",,"Vancouver",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","U.S. Corn",,"Prince Rupert",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","U.S. Corn",,"Churchill",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","U.S. Corn",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","U.S. Corn",,"Bay & Lakes",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","U.S. Corn",,"St. Lawrence",0.902
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","U.S. Soybean",,"Primary Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","U.S. Soybean",,"Process Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","U.S. Soybean",,"Vancouver",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","U.S. Soybean",,"Prince Rupert",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","U.S. Soybean",,"Churchill",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","U.S. Soybean",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","U.S. Soybean",,"Bay & Lakes",0.002
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","U.S. Soybean",,"St. Lawrence",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","Lentils",,"Primary Elevators",0.100
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","Lentils",,"Process Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","Lentils",,"Vancouver",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","Lentils",,"Prince Rupert",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","Lentils",,"Churchill",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","Lentils",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","Lentils",,"Bay & Lakes",0
"2026-2027",1,"09/08/2026","Imported Grains","Shipments","Current Week","Lentils",,"St. Lawrence",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","U.S. Corn",,"Primary Elevators",6.637
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","U.S. Corn",,"Process Elevators",4.877
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","U.S. Corn",,"Vancouver",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","U.S. Corn",,"Prince Rupert",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","U.S. Corn",,"Churchill",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","U.S. Corn",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","U.S. Corn",,"Bay & Lakes",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","U.S. Corn",,"St. Lawrence",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","Lentils",,"Primary Elevators",0.741
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","Lentils",,"Process Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","Lentils",,"Vancouver",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","Lentils",,"Prince Rupert",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","Lentils",,"Churchill",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","Lentils",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","Lentils",,"Bay & Lakes",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","Lentils",,"St. Lawrence",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","Canadian and Imported Origin Chick",,"Primary Elevators",0.052
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","Canadian and Imported Origin Chick",,"Process Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","Canadian and Imported Origin Chick",,"Vancouver",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","Canadian and Imported Origin Chick",,"Prince Rupert",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","Canadian and Imported Origin Chick",,"Churchill",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","Canadian and Imported Origin Chick",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","Canadian and Imported Origin Chick",,"Bay & Lakes",0
"2026-2027",1,"09/08/2026","Imported Grains","Stocks","Current Week","Canadian and Imported Origin Chick",,"St. Lawrence",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Crop Year","U.S. Corn",,"Primary Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Crop Year","U.S. Corn",,"Process Elevators",0.071
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Crop Year","U.S. Corn",,"Vancouver",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Crop Year","U.S. Corn",,"Prince Rupert",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Crop Year","U.S. Corn",,"Churchill",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Crop Year","U.S. Corn",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Crop Year","U.S. Corn",,"Bay & Lakes",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Crop Year","U.S. Corn",,"St. Lawrence",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Crop Year","U.S. Soybean",,"Primary Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Crop Year","U.S. Soybean",,"Process Elevators",1.562
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Crop Year","U.S. Soybean",,"Vancouver",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Crop Year","U.S. Soybean",,"Prince Rupert",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Crop Year","U.S. Soybean",,"Churchill",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Crop Year","U.S. Soybean",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Crop Year","U.S. Soybean",,"Bay & Lakes",0
"2026-2027",1,"09/08/2026","Imported Grains","Processed","Crop Year","U.S. Soybean",,"St. Lawrence",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Corn",,"Primary Elevators",0.032
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Corn",,"Process Elevators",1.397
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Corn",,"Vancouver",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Corn",,"Prince Rupert",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Corn",,"Churchill",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Corn",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Corn",,"Bay & Lakes",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Corn",,"St. Lawrence",0.686
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Soybean",,"Primary Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Soybean",,"Process Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Soybean",,"Vancouver",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Soybean",,"Prince Rupert",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Soybean",,"Churchill",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Soybean",,"Thunder Bay",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Soybean",,"Bay & Lakes",0.971
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Soybean",,"St. Lawrence",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Canola",,"Primary Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Canola",,"Process Elevators",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Canola",,"Vancouver",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Canola",,"Prince Rupert",0
"2026-2027",1,"09/08/2026","Imported Grains","Receipts","Crop Year","U.S. Canola",,"Churchill",0
